model,space,game,alpha,c,k_star,fit_r2
mlp,ram,Breakout,1.6991619211734363,4.559952394313176,13,0.999334671143176
mlp,ram,Pong,1.6993396739118898,4.5429437009466564,13,0.9994162475021039
mlp,ram,Boxing,1.7007441693429721,4.532295508854804,13,0.9993151261049039
dreamerv3,pixel,Breakout,1.0774236629501073,4.074777098187636,26,0.9999839236223882
dreamerv3,pixel,Pong,1.0773112208672935,4.075210709620726,26,0.9999857579128686
dreamerv3,pixel,Boxing,1.0773878621129114,4.075446517952915,26,0.9999850166629188
iris,pixel,Breakout,1.3585460016877327,4.169572166949383,17,0.9999168408945844
iris,pixel,Pong,1.3584870749588904,4.169729395771458,17,0.9999190267288782
iris,pixel,Boxing,1.358413228416275,4.170309075035759,17,0.9999175122102361
diamond,pixel,Breakout,0.6891888404532771,4.0341177762474985,51,0.999997225362098
diamond,pixel,Pong,0.6891569846335771,4.035916658644749,51,0.9999975663220095
diamond,pixel,Boxing,0.6894534406108496,4.032880619847827,51,0.999997355134612
