k,mse
1,4.0381690602789435
2,6.506366151688263
3,8.602848951132684
4,10.48919680085836
5,12.238332048610348
6,13.881972997351285
7,15.428027374131345
8,16.859230092686992
9,18.35435337215331
10,19.703777164944555
11,21.064620448352123
12,22.36601568030187
13,23.67922016157191
14,24.88890301622739
15,26.122232625977038
16,27.248258161963545
17,28.41250109642579
18,29.59629956940863
19,30.724135794584683
20,31.842556049032208
21,32.93284106158669
22,33.98808092135464
23,34.96826021319038
24,36.05295707934676
25,37.09681152792473
26,38.163841359693805
27,39.14871387362906
28,40.113696116972875
29,41.13773075090434
30,42.10740121769585
31,42.99623819065211
32,43.96109443495249
33,44.918263564106226
34,45.92679950032583
35,46.79194671914162
36,47.65878214961637
37,48.61235797929792
38,49.53038051103184
39,50.4096247368923
40,51.243910595647066
41,52.063363861990375
42,53.03496875698775
43,53.90842912018587
44,54.759858132742465
45,55.68041912163014
46,56.4844674708724
47,57.26940169785216
48,58.171447529963466
49,58.89523344254825
50,59.79322479217633
